train_classifier.py
--train
True
--model-name
cifar_wide_resnet_16_2
--net-name
gel_cls.003
--params-dir
/home/pichugin/datasets/models
--dataset-path
/home/pichugin/datasets/cutted
--ctx
gpu
--batch-size
64
--epochs
300
--save
True
--ssh
True
--lr
0.1
--lr-decay
0.1
--lr-decay-interval
40
--device-index
0
train_classifier.py
--train
True
--model-name
cifar_wide_resnet_16_2
--net-name
gel_cls.003
--params-dir
/home/pichugin/datasets/models
--dataset-path
/home/pichugin/datasets/cutted
--ctx
gpu
--batch-size
64
--epochs
300
--save
True
--ssh
True
--lr
0.1
--lr-decay
0.1
--lr-decay-interval
40
--device-index
0
[Epoch 55] Train-acc: 0.649, loss: 2.479 | Val-acc: 0.563 | time: 633.2
[Epoch 56] Train-acc: 0.650, loss: 2.478 | Val-acc: 0.558 | time: 633.5
[Epoch 57] Train-acc: 0.650, loss: 2.477 | Val-acc: 0.556 | time: 632.7
[Epoch 58] Train-acc: 0.651, loss: 2.476 | Val-acc: 0.547 | time: 632.7
[Epoch 59] Train-acc: 0.653, loss: 2.474 | Val-acc: 0.533 | time: 632.0
[Epoch 60] Train-acc: 0.655, loss: 2.472 | Val-acc: 0.570 | time: 632.1
[Epoch 61] Train-acc: 0.666, loss: 2.464 | Val-acc: 0.570 | time: 632.2
[Epoch 62] Train-acc: 0.680, loss: 2.452 | Val-acc: 0.583 | time: 632.5
Params saved on epoch 63, new best val acc founded[Epoch 63] Train-acc: 0.683, loss: 2.446 | Val-acc: 0.586 | time: 632.1
Params saved on epoch 64, new best val acc founded[Epoch 64] Train-acc: 0.686, loss: 2.444 | Val-acc: 0.577 | time: 632.3
[Epoch 65] Train-acc: 0.685, loss: 2.444 | Val-acc: 0.604 | time: 632.0
Params saved on epoch 66, new best val acc founded[Epoch 66] Train-acc: 0.688, loss: 2.440 | Val-acc: 0.589 | time: 631.4
[Epoch 67] Train-acc: 0.691, loss: 2.438 | Val-acc: 0.569 | time: 632.0
[Epoch 68] Train-acc: 0.690, loss: 2.439 | Val-acc: 0.605 | time: 632.1
Params saved on epoch 69, new best val acc founded[Epoch 69] Train-acc: 0.692, loss: 2.437 | Val-acc: 0.576 | time: 632.0
[Epoch 70] Train-acc: 0.693, loss: 2.436 | Val-acc: 0.578 | time: 632.2
[Epoch 71] Train-acc: 0.696, loss: 2.433 | Val-acc: 0.595 | time: 632.8
[Epoch 72] Train-acc: 0.702, loss: 2.428 | Val-acc: 0.572 | time: 632.4
[Epoch 73] Train-acc: 0.710, loss: 2.420 | Val-acc: 0.605 | time: 631.1
Params saved on epoch 74, new best val acc founded[Epoch 74] Train-acc: 0.725, loss: 2.406 | Val-acc: 0.605 | time: 630.4
[Epoch 75] Train-acc: 0.731, loss: 2.400 | Val-acc: 0.593 | time: 630.5
[Epoch 76] Train-acc: 0.736, loss: 2.395 | Val-acc: 0.585 | time: 630.3
[Epoch 77] Train-acc: 0.734, loss: 2.395 | Val-acc: 0.597 | time: 631.8
[Epoch 78] Train-acc: 0.738, loss: 2.392 | Val-acc: 0.604 | time: 631.8
[Epoch 79] Train-acc: 0.740, loss: 2.390 | Val-acc: 0.591 | time: 632.1
[Epoch 80] Train-acc: 0.757, loss: 2.373 | Val-acc: 0.599 | time: 632.7
[Epoch 81] Train-acc: 0.765, loss: 2.366 | Val-acc: 0.609 | time: 632.4
Params saved on epoch 82, new best val acc founded[Epoch 82] Train-acc: 0.765, loss: 2.365 | Val-acc: 0.606 | time: 632.6
[Epoch 83] Train-acc: 0.767, loss: 2.363 | Val-acc: 0.606 | time: 633.1
[Epoch 84] Train-acc: 0.768, loss: 2.362 | Val-acc: 0.597 | time: 634.0
[Epoch 85] Train-acc: 0.769, loss: 2.362 | Val-acc: 0.603 | time: 633.5
[Epoch 86] Train-acc: 0.770, loss: 2.361 | Val-acc: 0.611 | time: 633.0
Params saved on epoch 87, new best val acc founded[Epoch 87] Train-acc: 0.770, loss: 2.360 | Val-acc: 0.607 | time: 633.0
[Epoch 88] Train-acc: 0.771, loss: 2.360 | Val-acc: 0.612 | time: 633.7
Params saved on epoch 89, new best val acc founded[Epoch 89] Train-acc: 0.771, loss: 2.360 | Val-acc: 0.606 | time: 633.5
[Epoch 90] Train-acc: 0.772, loss: 2.359 | Val-acc: 0.607 | time: 633.2
[Epoch 91] Train-acc: 0.772, loss: 2.360 | Val-acc: 0.617 | time: 633.7
Params saved on epoch 92, new best val acc founded[Epoch 92] Train-acc: 0.773, loss: 2.358 | Val-acc: 0.608 | time: 633.9
[Epoch 93] Train-acc: 0.773, loss: 2.358 | Val-acc: 0.607 | time: 633.7
[Epoch 94] Train-acc: 0.774, loss: 2.357 | Val-acc: 0.601 | time: 634.1
[Epoch 95] Train-acc: 0.774, loss: 2.357 | Val-acc: 0.611 | time: 634.4
[Epoch 96] Train-acc: 0.775, loss: 2.356 | Val-acc: 0.612 | time: 634.8
[Epoch 97] Train-acc: 0.774, loss: 2.357 | Val-acc: 0.609 | time: 635.1
[Epoch 98] Train-acc: 0.776, loss: 2.355 | Val-acc: 0.595 | time: 637.3
[Epoch 99] Train-acc: 0.776, loss: 2.355 | Val-acc: 0.613 | time: 635.4
[Epoch 100] Train-acc: 0.775, loss: 2.356 | Val-acc: 0.607 | time: 635.8
[Epoch 101] Train-acc: 0.777, loss: 2.354 | Val-acc: 0.604 | time: 635.5
[Epoch 102] Train-acc: 0.778, loss: 2.354 | Val-acc: 0.601 | time: 636.0
[Epoch 103] Train-acc: 0.778, loss: 2.353 | Val-acc: 0.613 | time: 635.8
[Epoch 104] Train-acc: 0.777, loss: 2.354 | Val-acc: 0.607 | time: 635.9
[Epoch 105] Train-acc: 0.778, loss: 2.353 | Val-acc: 0.604 | time: 636.0
[Epoch 106] Train-acc: 0.778, loss: 2.353 | Val-acc: 0.605 | time: 636.3
[Epoch 107] Train-acc: 0.780, loss: 2.351 | Val-acc: 0.598 | time: 636.1
[Epoch 108] Train-acc: 0.780, loss: 2.352 | Val-acc: 0.598 | time: 636.3
[Epoch 109] Train-acc: 0.780, loss: 2.352 | Val-acc: 0.616 | time: 636.8
[Epoch 110] Train-acc: 0.780, loss: 2.351 | Val-acc: 0.613 | time: 637.0
[Epoch 111] Train-acc: 0.779, loss: 2.351 | Val-acc: 0.599 | time: 637.2
[Epoch 112] Train-acc: 0.779, loss: 2.351 | Val-acc: 0.602 | time: 637.0
[Epoch 113] Train-acc: 0.780, loss: 2.351 | Val-acc: 0.608 | time: 637.1
[Epoch 114] Train-acc: 0.782, loss: 2.349 | Val-acc: 0.609 | time: 637.5
[Epoch 115] Train-acc: 0.782, loss: 2.349 | Val-acc: 0.607 | time: 637.6
[Epoch 116] Train-acc: 0.782, loss: 2.349 | Val-acc: 0.602 | time: 638.7
[Epoch 117] Train-acc: 0.782, loss: 2.349 | Val-acc: 0.597 | time: 639.2
[Epoch 118] Train-acc: 0.782, loss: 2.349 | Val-acc: 0.625 | time: 640.0
Params saved on epoch 119, new best val acc founded[Epoch 119] Train-acc: 0.783, loss: 2.348 | Val-acc: 0.618 | time: 640.4
